Word 	 	 	 	Count
====================
a           672

abide       2

able        1

about       100

above       3

absence     1

absurd      2

accept      1

acceptance  1

accepted    2

accepting   1

access      10

accessed    1

accessible  1

accident    2

accidentally1

accordance  2

account     1

accounting  1

accounts    1

accustomed  1

across      5

act         1

active      2

actual      1

actually    1

added       23

adding      1

addition    1

additional  4

additions   1

address     1

addressed   2

addresses   1

addressing  1

adjourn     1

adoption    1

advance     2

advantage   2

adventures  10

adventuresbeginning1

advice      2

advisable   1

advise      1

affair      1

affectionately1

afford      1

afore       1

afraid      11

after       40

aftertime   1

afterwards  1

again       70

against     10

age         4

agent       1

ago         2

agony       1

agree       11

agreed      1

agreement   18

ah          1

air         14

airs        1

ak          1

alarm       2

alarmed     1

alas        4

alice       383

alive       2

all         186

allow       3

almost      8

alone       4

along       5

aloud       5

already     3

also        4

alteration  1

alternate   1

alternately 1

altogether  5

always      12

am          15

among       12

an          60

ancient     1

and         855

andoh       2

anger       2

angrily     9

angry       5

animal      1

animals     4

ann         3

annoy       1

another     22

answer      8

answered    4

antipathies 1

anxious     3

anxiously   14

any         74

anyone      5

anything    20

anywhere    3

apiece      1

appealed    1

appear      3

appearance  1

appeared    8

appearing   2

appears     1

applause    1

apples      2

applicable  3

apply       1

approach    1

arch        1

archbishop  2

arches      4

archive     13

are         63

argue       1

argued      1

argument    4

arguments   1

arise       1

arithmeticambition1

arm         12

armchair    1

arminarm    1

arms        6

around      3

arranged    1

array       1

arrived     1

arrow       1

as          264

ashamed     2

ask         10

askance     1

asked       17

asking      5

asleep      7

assembled   2

assistance  1

associated  8

at          220

ate         1

atheling    1

atom        2

attached    1

attempt     1

attempted   1

attempts    1

attended    1

attending   2

attends     1

audibly     1

author      1

authority   2

available   2

avoid       1

away        24

awayyou     1

awfully     1

b           2

baby        11

babythe     1

back        35

backs       1

backsomersault1

bad         2

bag         1

baked       1

balanced    1

balls       1

bank        2

banks       1

bankthe     1

banquet     1

bark        2

barking     1

barleysugar 1

barrowful   2

based       2

bat         2

bathing     1

bats        3

bawled      1

be          158

beak        1

bear        1

bearmind    1

beast       1

beasts      2

beat        4

beating     2

beauootiful 4

beautiful   12

beautifully 2

beautify    1

became      2

because     13

become      5

becoming    1

beds        1

been        38

before      35

beg         8

began       58

begged      1

begin       8

beginning   12

begins      4

begun       6

beheaded    1

beheading   1

behind      12

being       19

believe     8

believed    1

belong      1

belongs     2

beloved     1

below       5

belt        1

bend        2

bent        1

besides     3

best        12

better      11

between     6

bill        9

binary      1

bird        1

birds       9

birthday    1

bit         12

bite        1

bitterandand1

blacking    1

blades      1

blame       1

blasts      2

bleeds      1

blew        2

blow        2

blown       1

blows       1

body        2

boldly      1

bone        1

bones       1

book        5

books       1

bookshelves 1

boon        1

boots       3

bore        1

both        16

bother      1

bottle      10

bottom      4

bough       1

bound       3

bowed       4

bowing      1

box         4

boxed       1

boy         2

boyand      1

brain       1

branch      1

branches    2

brass       1

brave       1

breach      2

breadandbutter5

break       2

breath      3

breathe     1

breeze      1

bright      7

brightened  2

brighteyed  1

bring       2

bringing    3

bristling   1

broke       2

broken      6

brought     3

brown       2

brush       1

brushing    1

burn        2

burning     1

burnt       1

burst       1

bursting    1

busily      4

business    4

busy        2

but         129

butter      2

buttercup   1

buttered    1

butterfly   1

buttons     1

by          76

bythe       1

c           1

cackled     1

cake        3

cakes       2

calculate   1

calculated  1

call        5

called      15

calling     1

calmly      1

came        40

camomile    1

can         41

canary      1

canbut      1

candle      3

cannot      5

canterbury  1

canvas      1

capering    1

capital     4

card        1

cardboard   1

cards       2

care        4

carefully   3

cares       2

carried     4

carroll     4

carry       2

carrying    2

carthorse   1

cartwheels  1

case        4

cat         33

catch       3

catching    2

caterpillar 27

cats        10

cattle      1

caucusrace  1

caught      3

cauldron    2

cause       5

caused      2

cautiously  3

cease       1

ceiling     1

centre      1

certain     5

certainly   10

chains      1

chance      4

chanced     1

change      13

changed     8

changes     2

changing    2

chapter     12

character   2

charge      6

charges     2

charitable  1

charities   1

cheap       1

cheated     1

check       2

checked     3

checks      1

cheeks      1

cheered     3

cheerfully  1

cherrytart  1

cheshire    6

chief       2

child       6

childhood   1

childlife   1

children    10

chimney     4

chimneynay  1

chimneys    1

chin        7

choice      1

choke       1

choked      3

choking     1

choose      1

choosing    1

chorus      5

chose       1

chrysalisyou1

chuckled    1

circle      1

circumstances1

city        1

civil       3

claim       1

clamour     1

clapping    1

clasped     1

classics    1

claws       2

clean       1

clear       2

cleared     1

clearer     1

clearly     1

clever      1

climb       1

clinging    1

clock       2

close       13

closed      2

closely     1

closer      1

clubs       1

coast       1

coaxing     2

codes       1

cold        1

collected   2

collection  4

come        29

comes       2

comfits     2

comfort     1

comfortable 1

comfortably 1

coming      7

commercial  1

committed   1

common      1

commotion   1

company     1

compilation 1

complained  1

complaining 1

completely  1

compliance  5

comply      6

complying   3

compressed  1

computer    2

computers   2

concept     2

concerning  2

concert     1

concluded   2

conclusion  2

condemn     1

conduct     1

confirmation1

confirmed   1

confused    4

confusing   2

confusion   5

congereel   1

conqueror   1

conquest    1

consented   1

consequential1

consider    1

considerable2

considered  3

considering 3

constant    3

consultation1

contact     4

contain     2

containing  1

contempt    1

contemptuous1

contemptuously2

content     1

continued   9

contract    1

contradicted1

contributions2

conversation9

conversations1

convert     1

cook        13

cool        2

copied      2

copies      7

copy        12

copying     4

copyright   13

corner      3

cornerno    1

corners     1

corporation 1

corrupt     1

cost        4

costs       2

could       78

counting    1

countries   1

country     3

couples     1

courage     3

course      18

court       15

courtiers   2

crab        3

crash       2

crashed     1

crawled     1

crawling    1

created     2

creating    4

creation    1

creature    4

creatures   8

credit      1

creep       1

crept       1

cried       20

cries       1

crimson     2

critical    1

crocodile   1

croquet     3

croqueted   1

croquetground3

croqueting  1

cross       1

crossed     3

crossexamine2

crossly     1

crouched    1

crowd       4

crowded     5

crown       3

crumbs      1

cry         3

crying      2

cucumberframe1

cucumberframes1

cunning     1

cup         1

cupboards   2

cur         1

curiosity   5

curious     17

curled      2

curls       1

curly       1

currants    1

current     1

curtain     1

curtsey     1

curtseying  1

curving     1

cushion     2

custard     1

custody     2

cut         5

dainties    1

daisies     1

daisychain  1

damage      2

damaged     1

damages     4

dance       11

dancing     1

dare        5

daresay     1

dark        3

darkness    1

data        1

date        4

dates       1

daughter    1

day         21

days        7

dayschool   1

dead        4

deal        12

dear        22

dears       3

decided     3

decidedly   4

declare     2

declared    1

deductible  1

deep        7

deepest     1

deeply      4

defect      3

defective   3

delay       1

deletions   1

delight     3

delighted   2

delightful  2

demand      1

denial      1

denied      2

denies      1

deny        2

denying     1

depends     2

derivative  3

derive      1

derived     1

described   1

deserved    1

despair     1

desperate   1

desperately 1

despite     1

destroy     2

detach      1

determine   1

diamonds    1

did         55

die         1

died        1

different   7

difficult   2

difficulties1

difficulty  4

dig         1

digging     3

diligently  1

dinah       10

dinn        1

dinner      1

dipped      2

direct      1

directed    2

direction   3

directions  3

directly    3

director    1

disagree    1

disappeared 2

disappointment1

disclaim    1

disclaimer  3

disclaimers 1

discontinue 1

discover    1

discovered  1

disgust     1

dish        4

dishes      2

disk        1

dismay      1

disobey     1

display     1

displayed   1

displaying  4

dispute     2

distance    7

distancebut 1

distant     2

distraction 1

distribute  6

distributed 4

distributing7

distribution6

distributor 1

dive        1

do          79

dodged      1

dodo        13

does        8

dog         2

dogs        1

doing       3

domain      8

donate      3

donation    1

donations   15

done        12

donors      1

door        29

doori       1

doors       2

doorway     1

dormouse    36

doth        3

double      1

doubledup   1

doubling    1

doubt       4

doubtful    2

doubtfully  2

down        97

downhere    1

downloading 1

downward    1

downwards   1

doze        1

dozing      1

dr          2

draggled    1

draw        5

drawing     1

drawling    1

drawlingmaster1

drawlingthe 1

dreadful    1

dreadfully  6

dream       6

dreamed     1

dreaming    1

dreamy      1

dressed     1

drew        5

dried       1

driest      1

drink       4

drinking    1

dripping    1

drive       1

drop        1

dropped     5

dropping    1

drowned     1

drunk       2

dry         8

duchess     37

duck        4

dull        2

dunce       1

each        8

eager       3

eagerly     8

eaglet      3

ear         6

earls       2

earnestly   2

ears        4

earth       4

easily      4

easy        3

eat         16

eaten       1

eating      1

eats        1

ebook       9

ebooks      7

edgar       1

edge        3

edition     2

editions    6

educational 1

educationsin1

edwin       1

eeevening   3

eel         1

eels        1

effect      3

effort      2

efforts     3

eggs        4

ein         1

either      9

elbow       2

elbows      1

elect       1

electronic  27

electronically2

elegant     1

eleventh    1

else        10

elsie       1

email       4

emphasis    1

employee    1

employees   2

empty       1

encoding    1

encourage   1

encouraged  1

encouraging 2

end         18

ending      1

energetic   1

engaged     1

england     1

english     5

engraved    1

enjoy       1

enormous    1

enough      14

enoughi     1

ensuring    1

entangled   2

entirely    2

entity      3

entrance    1

equipment   3

errors      1

escape      3

especially  1

esq         1

est         1

even        21

evening     2

ever        19

every       12

everybody   6

everything  10

evidence    4

evidently   1

exact       1

exactly     6

examining   1

excellent   2

except      7

exclaimed   6

exclamation 1

exclusion   1

execute     1

executed    5

executes    1

execution   1

executioner 5

executiononce1

executions  2

executive   1

exempt      2

existence   1

exists      1

expected    1

expecting   3

expend      1

expense     1

expenses    2

experiment  1
